CustomerID,churn,Recency,Frequency,Monetary,TotalQuantity,AvgOrderValue,TotalInvoices,CustomerLifetimeDays,AvgDaysBetweenPurchases,PurchaseRatePerMonth,WeekendPurchaseRatio,EveningPurchaseRatio,UniqueActiveMonths,UniqueActiveDays,MonthlyPurchaseVariance,UniqueProducts,ProductDiversityRatio,AvgItemsPerInvoice,RepeatPurchaseRatio,TopProductConcentration,RecencyScore,MonetaryScore,RevenuePerMonth,QuantityPerMonth,InvoiceFrequencyScore,EngagementScore,R_Quartile,F_Quartile,M_Quartile,RFM_Score,Recency_Frequency,Monetary_Frequency,Recency_Monetary,Log_Monetary,Log_Frequency,Log_Recency,High_Recency_Flag,Low_Frequency_Flag,Low_Monetary_Flag,Recency_Bucket
12346,1,73,11,372.86,70,33.89636363636364,11,196,19.6,1.4601769911504425,0.0,0.0,4,4,2.0615528128088303,26,2.3636363636363638,6.363636363636363,0.038461538461538464,0.24242424242424243,0.25886524730898847,0.0067486303496428045,93.215,17.5,2.75,0.05501808933704132,1,2,1,4,803,4101.46,27218.780000000002,5.923881395784186,2.4849066497880004,4.30406509320417,0,0,1,2
12349,0,133,1,794.52,457,794.52,1,0,0.0,1.0,0.0,0.0,1,1,0.0,40,40.0,457.0,0.0,0.025,0.4716312040013078,0.01440001771010739,794.52,457.0,1.0,0.007608520019849288,2,0,2,4,133,794.52,105671.16,6.678995988882291,0.6931471805599453,4.897839799950911,1,1,0,3
12355,1,111,1,437.11,253,437.11,1,0,0.0,1.0,0.0,0.0,1,1,0.0,20,20.0,253.0,0.0,0.05,0.39361701988079073,0.007914502469146314,437.11,253.0,1.0,0.004799219593401782,2,0,2,4,111,437.11,48519.21,6.082470020398197,0.6931471805599453,4.718498871295094,1,1,0,3
12358,0,94,2,382.13,156,191.065,2,181,181.0,0.2843601895734597,0.0,0.0,2,2,0.0,21,10.5,78.0,0.047619047619047616,0.09090909090909091,0.33333333215130023,0.006916842560503467,191.065,78.0,1.0,0.009222456763689829,2,0,1,3,188,764.26,35920.22,5.94837435717628,1.0986122886681098,4.553876891600541,1,0,1,3
12359,0,79,5,1236.48,426,247.296,5,198,49.5,0.6578947368421053,0.36231884057971014,0.0,3,4,0.5773502691896257,67,13.4,85.2,0.029850746268656716,0.028985507246376812,0.2801418429782204,0.022419766222726397,412.16,142.0,1.6666666666666667,0.08069525796975485,2,2,3,7,395,6182.4,97681.92,7.120832332696083,1.791759469228055,4.382026634673881,1,0,0,2
12360,0,107,2,528.0,452,264.0,2,92,92.0,0.49180327868852464,0.0,0.0,2,2,0.0,38,19.0,226.0,0.0,0.02631578947368421,0.3794326227679694,0.009563780553841628,264.0,226.0,1.0,0.011869940429440392,2,0,2,4,214,1056.0,56496.0,6.270988431858299,1.0986122886681098,4.68213122712422,1,0,0,3
12361,1,6,3,276.35,141,92.11666666666667,3,220,110.0,0.36000000000000004,0.3125,0.0,3,3,0.0,13,4.333333333333333,47.0,0.15384615384615385,0.1875,0.02127659566923193,0.004997372477996366,92.11666666666667,47.0,1.0,0.01467313621312047,0,1,1,2,18,829.0500000000001,1658.1000000000001,5.6252802465012435,1.3862943611198906,1.9459101490553132,0,0,1,0
12368,1,172,1,371.5,146,371.5,1,0,0.0,1.0,1.0,0.0,1,1,0.0,10,10.0,146.0,0.0,0.1,0.6099290758513154,0.006723951967035415,371.5,146.0,1.0,0.00262281815771287,3,0,1,4,172,371.5,63898.0,5.920237037819614,0.6931471805599453,5.153291594497779,1,1,1,3
12369,0,185,1,159.6,120,159.6,1,0,0.0,1.0,0.0,0.0,1,1,0.0,7,7.0,120.0,0.0,0.14285714285714285,0.6560283664679846,0.002878842206369366,159.6,120.0,1.0,0.0009902400564057823,3,0,0,3,185,159.6,29526.0,5.078916801512661,0.6931471805599453,5.225746673713202,1,1,1,4
12370,1,168,3,474.92,240,158.30666666666667,3,44,22.0,1.2162162162162162,0.0,0.0,2,2,0.7071067811865476,29,9.666666666666666,80.0,0.0,0.034482758620689655,0.595744678738494,0.00860059779737087,237.46,120.0,1.5,0.010430512276851486,3,1,2,6,504,1424.76,79786.56,6.16524977287965,1.3862943611198906,5.1298987149230735,1,0,0,3
